bedrooms;bathrooms;sqft_living_media;sqft_lot_media;floors;view;condition;grade;sqft_living;sqft_lot;sqft_above;sqft_basement;yr_built;lifetime;sqft_living15;sqft_lot15;price/sqft_living;price/sqft_lot;price/sqft_above;price/sqft_basement;price/lifetime;price/sqft_living15;price/sqft_lot15;Caro
3;1;0;1;1;0;4;7;1250;7210;1250;0;1968;52;1010;7210;120;20.8;120;0;2884.62;148.51;20.8;0
4;2.25;0;1;2;0;3;7;2530;24700;2530;0;1974;46;2650;24700;134.39;13.77;134.39;0;7391.3;128.3;13.77;1
4;2.5;0;1;2;0;3;8;2360;7475;2360;0;1992;28;2280;7570;144.07;45.48;144.07;0;12142.86;149.12;44.91;1
4;2;0;1;1;0;4;7;1450;8175;1450;0;1967;53;1570;9024;141.38;25.08;141.38;0;3867.92;130.57;22.72;0
3;2.5;0;1;1;0;4;7;1440;7741;1000;440;1983;37;1680;7316;184.03;34.23;265;602.27;7162.16;157.74;36.22;0
3;2.5;0;1;2;0;3;9;2720;11937;2720;0;1990;30;2590;9683;136.91;31.2;136.91;0;12413.33;143.78;38.46;1
3;1.75;0;1;1;0;4;7;1430;7700;980;450;1981;39;1430;8625;176.22;32.73;257.14;560;6461.54;176.22;29.22;0
4;2.5;0;1;1;0;3;7;2040;7000;1250;790;1979;41;1900;7378;129.85;37.84;211.92;335.32;6460.98;139.42;35.9;0
3;2.25;0;1;1;0;4;7;1710;7134;1130;580;1979;41;1790;7455;100.61;24.12;152.25;296.62;4196.1;96.11;23.08;0
3;1.5;0;1;1;0;4;7;1270;11600;1270;0;1964;56;1380;9945;194.09;21.25;194.09;0;4401.79;178.62;24.79;0
4;2.25;0;1;1;0;4;7;2130;9600;2130;0;1966;54;1710;9600;143.19;31.77;143.19;0;5648.15;178.36;31.77;1
3;1.5;0;1;1;0;3;7;1560;8314;1560;0;1962;58;1820;8925;175.32;32.9;175.32;0;4715.52;150.27;30.64;0
3;2.5;0;0;2;0;3;7;2550;4240;2550;0;2006;14;2550;4240;127.45;76.65;127.45;0;23214.29;127.45;76.65;1
4;1.75;0;1;1;0;5;7;1710;7200;910;800;1975;45;1730;7200;158.48;37.64;297.8;338.75;6022.22;156.65;37.64;0
4;2;0;1;2;0;4;7;1620;7992;1620;0;1975;45;1710;7500;160.49;32.53;160.49;0;5777.78;152.05;34.67;0
3;2.5;0;1;2;0;3;7;1770;6187;1770;0;1992;28;1650;7200;138.42;39.6;138.42;0;8750;148.48;34.03;0
3;2;0;1;1;0;4;7;1110;7231;1110;0;1991;29;1550;7245;200.9;30.84;200.9;0;7689.66;143.87;30.78;0
5;1.5;0;1;1.5;0;3;7;1830;94960;1830;0;1929;91;1440;16365;120.22;2.32;120.22;0;2417.58;152.78;13.44;0
3;2.25;0;1;1;0;5;7;1840;7326;1370;470;1979;41;2050;7475;173.91;43.68;233.57;680.83;7804.63;156.09;42.81;1
3;1;0;1;1;0;4;7;970;7275;970;0;1970;50;1750;7200;221.65;29.55;221.65;0;4300;122.86;29.86;0
3;2.75;1;1;1;0;4;8;2850;8039;1540;1310;1989;31;2240;7727;117.54;41.67;217.53;255.73;10806.45;149.55;43.35;1
4;2.5;0;1;2;0;4;8;1920;7277;1920;0;1990;30;2300;7645;166.67;43.97;166.67;0;10666.67;139.13;41.86;1
4;1.75;0;1;1;0;4;7;1490;8544;1490;0;1970;50;1180;8372;162.52;28.34;162.52;0;4843;205.21;28.92;0
3;1;0;1;1;0;3;7;1610;7140;1080;530;1976;44;1800;7600;133.54;30.11;199.07;405.66;4886.36;119.44;28.29;0
4;2.5;0;1;2;0;3;7;2200;8065;2200;0;1998;22;2641;8535;136.36;37.2;136.36;0;13636.36;113.59;35.15;0
3;2.5;0;1;2;0;3;8;2530;8820;2530;0;1997;23;2340;9472;169.57;48.64;169.57;0;18652.17;183.33;45.29;1
3;2.5;0;1;2;0;3;8;1880;6818;1880;0;1993;27;1970;7000;172.87;47.67;172.87;0;12037.04;164.97;46.43;1
4;3;1;1;2;0;3;9;3220;8936;2450;770;1990;30;2810;10500;133.54;48.12;175.51;558.44;14333.33;153.02;40.95;1
4;2.5;0;1;2;0;3;7;2641;8615;2641;0;1998;22;2641;8091;123.04;37.72;123.04;0;14770.45;123.04;40.16;1
4;2.5;0;1;2;0;3;8;1910;8058;1910;0;1992;28;1910;6500;157.07;37.23;157.07;0;10714.29;157.07;46.15;0
3;1.75;0;1;1;0;4;7;1340;7210;1340;0;1975;45;1370;7210;190.3;35.37;190.3;0;5666.67;186.13;35.37;0
3;2.5;0;1;2;0;3;9;2480;6180;2480;0;1999;21;2870;6180;169.35;67.96;169.35;0;20000;146.34;67.96;1
3;2;0;1;1;0;3;7;1280;14972;1280;0;1963;57;1800;9698;156.64;13.39;156.64;0;3517.54;111.39;20.67;0
4;2.25;0;1;2;0;3;7;1770;7778;1770;0;1998;22;1770;7591;197.74;45;197.74;0;15909.09;197.74;46.11;1
3;1;0;1;1;0;3;7;1050;8498;1050;0;1958;62;1340;8498;195.24;24.12;195.24;0;3306.45;152.99;24.12;0
4;2.75;0;1;1;0;4;7;2520;6964;1260;1260;1987;33;1930;6949;121.83;44.08;243.65;243.65;9303.03;159.07;44.18;1
4;1.75;0;1;1;0;4;7;1820;8118;1080;740;1980;40;1810;8050;145.05;32.52;244.44;356.76;6600;145.86;32.8;0
3;2.5;0;1;2;0;3;8;1790;6191;1790;0;1992;28;1790;6758;139.66;40.38;139.66;0;8928.57;139.66;36.99;0
3;2.5;0;0;2;0;4;8;2220;6049;2220;0;1990;30;1980;7226;146.4;53.73;146.4;0;10833.33;164.14;44.98;1
4;2.5;1;1;1;0;5;8;3200;22651;1610;1590;1970;50;2030;5500;120.31;17;239.13;242.14;7700;189.66;70;1
4;2.5;0;1;2;0;3;7;2350;8906;2350;0;1993;27;2000;8165;125.53;33.12;125.53;0;10925.93;147.5;36.13;0
2;1;0;1;1;0;5;6;970;8185;970;0;1904;116;1500;12541;211.34;25.05;211.34;0;1767.2;136.66;16.35;0
3;1.5;0;1;1;0;4;7;1900;9737;1200;700;1968;52;1670;9737;144.74;28.24;229.17;392.86;5288.46;164.67;28.24;0
4;2.5;0;1;2;0;4;8;2150;6807;2150;0;1991;29;1910;7240;147.21;46.5;147.21;0;10913.79;165.71;43.72;1
3;1.75;0;1;1;0;3;7;2200;7700;1240;960;1975;45;1770;7360;98.45;28.13;174.68;225.63;4813.33;122.37;29.43;0
4;1.75;0;1;1;0;4;7;2090;7416;1050;1040;1970;50;1710;7527;138.73;39.1;276.14;278.8;5799;169.56;38.52;0
3;1.75;0;1;1;0;4;7;1840;7412;1240;600;1976;44;1980;7350;146.47;36.36;217.34;449.17;6125;136.11;36.67;0
5;2.25;0;1;1;0;4;7;1820;10500;1080;740;1979;41;1820;7500;151.1;26.19;254.63;371.62;6707.32;151.1;36.67;0
2;1.75;0;1;1;0;3;7;1960;30144;980;980;1957;63;1960;10140;142.86;9.29;285.71;285.71;4444.44;142.86;27.61;0
3;1;0;1;1;0;4;7;1180;6947;1180;0;1968;52;1760;8657;210.17;35.7;210.17;0;4769.23;140.91;28.65;0
4;2;0;1;1;0;3;7;2130;8400;1350;780;1962;58;1550;8596;117.37;29.76;185.19;320.51;4310.34;161.29;29.08;0
5;2.5;0;1;2;0;3;7;2740;12413;2740;0;1990;30;1900;7416;140.88;31.1;140.88;0;12866.67;203.16;52.05;1
2;1.75;0;1;1;0;3;7;1460;10506;1460;0;1983;37;1460;8153;205.45;28.55;205.45;0;8106.76;205.45;36.79;0
3;1.5;0;1;1;0;3;7;1510;16200;1510;0;1970;50;1650;13950;182.12;16.98;182.12;0;5500;166.67;19.71;0
4;2.5;1;1;2;0;3;9;2980;12534;2980;0;1996;24;2630;12534;172.82;41.09;172.82;0;21458.33;195.82;41.09;1
4;1.75;0;1;1;0;3;8;1700;40973;1700;0;1961;59;2760;40973;197.03;8.17;197.03;0;5677.12;121.36;8.17;1
3;2.25;0;1;2;0;3;8;2310;7200;2310;0;1990;30;1960;7201;141.77;45.49;141.77;0;10916.67;167.09;45.48;1
4;1.5;0;1;1.5;0;3;7;1760;6150;1760;0;1951;69;1760;8276;133.52;38.21;133.52;0;3405.8;133.52;28.4;0
4;2.5;0;0;2;0;3;7;2120;5293;2120;0;2003;17;1990;5313;150.94;60.46;150.94;0;18822.94;160.8;60.23;1
4;1.75;0;1;1;0;3;7;1630;8000;1630;0;1959;61;1630;7700;131.9;26.88;131.9;0;3524.59;131.9;27.92;0
3;1.75;0;1;1;0;4;7;1390;7399;1390;0;1975;45;1460;7800;176.98;33.25;176.98;0;5466.67;168.49;31.54;0
5;2.5;0;1;1;0;4;7;2490;7666;1490;1000;1989;31;1930;7415;117.27;38.09;195.97;292;9419.35;151.3;39.38;0
5;2.5;0;0;2;0;3;8;2740;5400;2740;0;2005;15;2900;5476;138.25;70.15;138.25;0;25253.33;130.62;69.17;1
3;2.5;0;1;2;0;3;8;2200;9696;2200;0;1987;33;2200;9915;165.91;37.64;165.91;0;11060.61;165.91;36.81;1
4;2.5;0;0;2;0;3;8;1980;5909;1980;0;2003;17;2550;5487;155.33;52.05;155.33;0;18091.18;120.61;56.05;1
3;1.75;0;1;2;0;3;7;1570;7775;1570;0;1982;38;1580;8622;167.52;33.83;167.52;0;6921.05;166.46;30.5;0
3;1.5;0;1;1;0;4;7;1460;7140;980;480;1980;40;1400;8572;139.73;28.57;208.16;425;5100;145.71;23.8;0
6;4.25;1;1;2;0;4;10;5480;189050;5140;340;1991;29;2470;10429;145.99;4.23;155.64;2352.94;27586.21;323.89;76.71;1
4;2.5;0;1;2;0;4;8;2680;7700;2680;0;1990;30;2400;7700;135.63;47.21;135.63;0;12116.67;151.46;47.21;1
3;2.25;0;1;1;0;3;7;1420;7297;1130;290;1984;36;1730;7419;189.44;36.86;238.05;927.59;7472.22;155.49;36.26;0
3;1.75;0;1;1;0;4;7;2010;8065;1090;920;1984;36;1560;8065;148.76;37.07;274.31;325;8305.56;191.67;37.07;0
3;1;0;1;1;0;3;7;1790;11884;1790;0;1951;69;1660;11513;145.25;21.88;145.25;0;3768.12;156.63;22.58;0
4;2.5;1;1;2;0;3;9;3000;9460;3000;0;2001;19;3000;8450;143.33;45.45;143.33;0;22631.58;143.33;50.89;1
3;1.75;0;1;1;0;4;7;1370;8280;1370;0;1980;40;1850;7820;162.04;26.81;162.04;0;5550;120;28.39;0
4;2.5;0;1;1;0;3;8;2440;7797;1560;880;1965;55;2090;8100;114.26;35.76;178.72;316.82;5069.09;133.4;34.42;0
3;1.75;0;1;1;0;3;7;1590;7560;1130;460;1984;36;1500;7560;157.23;33.07;221.24;543.48;6944.44;166.67;33.07;0
4;2.75;0;1;1;0;3;8;2500;26400;1780;720;1977;43;2180;31900;147.4;13.96;207.02;511.81;8569.77;169.04;11.55;1
4;2.5;0;0;2;0;3;8;2330;4606;2330;0;2004;16;2330;5783;132.19;66.87;132.19;0;19250;132.19;53.26;1
3;2;0;1;1;0;3;7;1010;7896;1010;0;1984;36;1540;7896;198.02;25.33;198.02;0;5555.56;129.87;25.33;0
3;2;0;1;1;0;3;7;1010;7896;1010;0;1984;36;1540;7896;257.38;32.92;257.38;0;7220.83;168.8;32.92;0
4;3.5;1;1;2;0;3;10;3100;7600;3100;0;2005;15;3350;7638;164.84;67.24;164.84;0;34066.67;152.54;66.9;1
3;2.5;0;1;2;0;3;7;1650;6684;1650;0;1991;29;1850;7048;162.42;40.1;162.42;0;9241.38;144.86;38.02;0
5;3.5;1;1;2;0;3;10;3430;6872;2830;600;2002;18;3650;6600;137.9;68.83;167.14;788.33;26277.78;129.59;71.67;1
3;2.5;0;0;2;0;4;7;1600;2788;1600;0;1992;28;1720;3605;153.13;87.88;153.13;0;8750;142.44;67.96;0
4;2.5;0;1;2;0;3;8;2170;19785;2170;0;1992;28;2280;8616;156.68;17.18;156.68;0;12142.86;149.12;39.46;1
3;2;0;1;1;0;3;7;1830;12891;1830;0;1994;26;2320;8709;183.88;26.1;183.88;0;12942.31;145.04;38.64;1
3;2.25;0;1;1;0;3;8;2130;8721;1570;560;1987;33;2130;9477;148.36;36.23;201.27;564.29;9575.76;148.36;33.34;1
3;1;0;1;1;0;4;7;1050;8498;1050;0;1959;61;1050;8498;237.14;29.3;237.14;0;4081.97;237.14;29.3;0
3;1.5;0;0;1;0;4;7;1360;9980;1360;0;1966;54;1360;9750;180.07;24.54;180.07;0;4535.19;180.07;25.12;0
4;2.5;1;0;2;0;3;9;2810;6146;2810;0;1998;22;2810;6180;107.12;48.97;107.12;0;13681.82;107.12;48.71;1
3;2.25;1;0;2;0;4;7;2140;7200;2140;0;1979;41;1890;7455;130.84;38.89;130.84;0;6829.27;148.15;37.56;0
3;3.25;1;0;2;2;3;9;2760;6420;2110;650;1991;29;2030;7725;135.87;58.41;177.73;576.92;12931.03;184.73;48.54;1
6;4.5;1;0;1;0;3;8;2810;11214;2010;800;1958;62;1940;8349;103.2;25.86;144.28;362.5;4677.42;149.48;34.73;0
4;2.5;0;0;2;0;3;8;1830;6360;1830;0;1994;26;1830;6596;155.19;44.65;155.19;0;10923.08;155.19;43.06;0
3;2.5;0;0;2;0;3;7;1720;3407;1720;0;1992;28;1720;3407;142.44;71.91;142.44;0;8750;142.44;71.91;0
4;2.75;1;1;1;0;4;7;3390;16153;1970;1420;1961;59;2530;8495;103.24;21.67;177.66;246.48;5932.2;138.34;41.2;1
3;2.75;0;0;2;0;4;7;1900;8200;1900;0;1984;36;1620;8200;165.26;38.29;165.26;0;8722.22;193.83;38.29;1
3;1.75;0;1;1;0;3;6;1200;24805;1200;0;1984;36;2150;4339;208.33;10.08;208.33;0;6944.44;116.28;57.62;0
5;1.75;1;0;1;0;4;7;2150;7171;1460;690;1970;50;1710;7300;130.21;39.04;191.75;405.72;5599;163.71;38.35;0
3;2.5;1;0;2;0;3;8;2090;12027;2090;0;1991;29;2090;12666;156.7;27.23;156.7;0;11293.1;156.7;25.86;1
4;2.5;1;0;1;0;5;7;2150;7670;1240;910;1976;44;1610;7350;106.95;29.98;185.44;252.69;5226.14;142.83;31.29;0
4;2.5;1;0;1;0;5;7;2150;7670;1240;910;1976;44;1610;7350;160.42;44.97;278.15;379.01;7838.64;214.22;46.93;1
2;2.5;1;1;1;0;4;8;2110;114127;1590;520;1975;45;1960;11250;180.09;3.33;238.99;730.77;8444.44;193.88;33.78;1
3;2.5;0;0;2;0;4;7;1500;10652;1500;0;1981;39;1610;7417;160;22.53;160;0;6153.85;149.07;32.36;0
3;1;0;0;1;0;3;7;980;9682;980;0;1969;51;1580;9682;205.1;20.76;205.1;0;3941.18;127.22;20.76;0
4;2.5;1;0;2;0;4;7;2380;7066;2380;0;1997;23;2310;8127;150;50.52;150;0;15521.74;154.55;43.93;1
3;2.25;0;0;1;0;3;7;1890;7314;1100;790;1981;39;1520;7676;134.92;34.86;231.82;322.78;6538.46;167.76;33.22;0
4;2.5;1;0;2;0;3;8;1980;12062;1980;0;1992;28;2300;7902;189.37;31.09;189.37;0;13391.07;163.02;47.45;1
0;0;1;0;2;0;3;8;2460;8049;2460;0;1990;30;2520;8050;144.31;44.1;144.31;0;11833.33;140.87;44.1;1
4;2.75;1;1;1;0;3;7;2330;14175;1800;530;1980;40;1480;10125;159.66;26.24;206.67;701.89;9300;251.35;36.74;1
3;1.75;0;1;1;0;3;7;1650;16200;1650;0;1976;44;1650;8680;160.3;16.33;160.3;0;6011.36;160.3;30.47;0
3;1.5;0;1;1;0;3;7;1500;15000;1500;0;1952;68;1790;13905;143.33;14.33;143.33;0;3161.76;120.11;15.46;0
4;1.5;0;0;1;0;4;7;1050;9516;1050;0;1969;51;1390;9600;219.05;24.17;219.05;0;4509.8;165.47;23.96;0
4;2.25;1;0;2;0;4;7;2260;7200;2260;0;1984;36;1720;7200;128.17;40.23;128.17;0;8046.08;168.41;40.23;0
3;2.5;1;0;2;0;4;7;2110;7434;2110;0;1978;42;2100;7749;151.18;42.91;151.18;0;7595.24;151.9;41.17;1
4;3;1;0;2;0;3;9;3290;10783;3290;0;1990;30;2810;10783;136.76;41.73;136.76;0;14998.33;160.12;41.73;1
3;2.25;0;0;2;0;3;7;1650;3788;1650;0;1985;35;1510;3994;141.64;61.7;141.64;0;6677.23;154.77;58.51;0
3;1.5;0;0;1;0;4;7;1120;11430;1120;0;1963;57;1790;8760;203.53;19.94;203.53;0;3999.12;127.35;26.02;0
3;2.5;0;0;2;0;4;8;1890;7053;1890;0;1992;28;2000;7226;183.86;49.27;183.86;0;12410.71;173.75;48.09;1
3;1.75;0;0;1;0;4;7;1560;9514;1560;0;1967;53;1550;9600;182.69;29.96;182.69;0;5377.36;183.87;29.69;0
3;2.5;0;0;2;0;3;7;1640;5707;1640;0;1995;25;1850;5827;182.93;52.57;182.93;0;12000;162.16;51.48;0
3;1.5;0;0;1;0;4;7;1390;11340;1390;0;1963;57;1740;11340;166.91;20.46;166.91;0;4070.18;133.33;20.46;0
5;2.5;1;1;2;0;3;8;2750;12350;2750;0;1987;33;1650;9810;129.82;28.91;129.82;0;10818.18;216.36;36.39;1
3;1.75;0;0;1;0;3;7;1470;10390;1470;0;1989;31;1770;7507;178.57;25.26;178.57;0;8467.74;148.31;34.97;0
3;2;0;0;1;0;5;7;1320;7200;1320;0;1975;45;1540;7200;190.72;34.97;190.72;0;5594.44;163.47;34.97;0
3;1.75;0;0;1;0;4;7;1570;7416;1570;0;1971;49;1900;7416;161.15;34.12;161.15;0;5163.27;133.16;34.12;0
3;1.5;0;0;1;0;4;7;1280;7742;1280;0;1962;58;1450;8316;171.88;28.42;171.88;0;3793.1;151.72;26.46;0
5;2.5;1;0;2;0;3;8;2740;5460;2740;0;2005;15;2900;5971;135.04;67.77;135.04;0;24666.67;127.59;61.97;1
4;2.75;1;0;2;0;4;8;2110;6838;2110;0;1991;29;2100;7280;154.03;47.53;154.03;0;11206.9;154.76;44.64;1
4;2.25;0;0;1;0;3;7;1930;7452;1430;500;1984;36;1714;7200;161.66;41.87;218.18;624;8666.67;182.03;43.33;1
4;2.5;1;0;2;0;3;7;2020;7289;2020;0;1994;26;2090;7259;178.22;49.39;178.22;0;13846.15;172.25;49.59;1
3;1.75;0;0;1;0;4;7;1730;6900;1130;600;1976;44;1950;7200;173.41;43.48;265.49;500;6818.18;153.85;41.67;0
4;2.5;1;0;2;0;3;9;2550;8824;2550;0;1990;30;2630;11237;165.69;47.88;165.69;0;14083.33;160.65;37.6;1
3;1;0;0;1;0;4;7;1180;9000;1180;0;1970;50;1290;8316;182.2;23.89;182.2;0;4300;166.67;25.85;0
3;1.5;0;1;1;0;5;7;1550;40752;1550;0;1954;66;1550;8000;225.81;8.59;225.81;0;5303.03;225.81;43.75;1
4;2.5;1;0;2;0;3;9;2520;9604;2520;0;1990;30;2540;9793;147.62;38.73;147.62;0;12400;146.46;37.99;1
4;2.5;0;0;1;0;4;7;1790;10584;1290;500;1981;39;1730;9120;174.3;29.48;241.86;624;8000;180.35;34.21;1
4;2.5;0;0;2;0;3;8;1930;8336;1930;0;1995;25;2280;7959;165.28;38.27;165.28;0;12760;139.91;40.08;1
4;2.5;1;0;2;0;3;8;2580;5476;2580;0;2005;15;2900;5476;137.21;64.65;137.21;0;23600;122.07;64.65;1
3;2.5;1;0;2;0;4;8;2470;7700;2470;0;1990;30;2400;7700;147.77;47.4;147.77;0;12166.67;152.08;47.4;1
4;2.5;1;0;2;0;3;8;2210;7079;2210;0;1993;27;1970;7000;173.08;54.03;173.08;0;14166.67;194.16;54.64;1
5;2.5;1;0;1;0;4;7;2140;10320;1330;810;1967;53;2050;8964;126.17;26.16;203.01;333.33;5094.34;131.71;30.12;0
3;2;0;0;1;0;3;7;1260;7346;1260;0;1987;33;1460;7363;230.16;39.48;230.16;0;8787.88;198.63;39.39;0
4;1.75;0;1;1.5;0;4;7;1400;54014;1400;0;1935;85;1910;8523;172.88;4.48;172.88;0;2847.35;126.71;28.4;0
3;1.75;0;0;1;0;4;7;1400;6956;1400;0;1957;63;1400;9375;164.29;33.06;164.29;0;3650.79;164.29;24.53;0
3;2.25;0;0;1;0;4;7;1740;9672;1110;630;1963;57;1640;9600;155.11;27.91;243.15;428.41;4735.09;164.57;28.11;0
4;2.5;1;0;2;0;3;8;2160;9682;2160;0;1999;21;1770;9600;159.95;35.68;159.95;0;16452.38;195.2;35.99;1
3;1.75;0;0;1;0;5;7;1200;8034;1200;0;1975;45;1270;7600;202.5;30.25;202.5;0;5400;191.34;31.97;0
3;2.5;1;0;2;0;3;7;2030;8000;2030;0;1997;23;2290;7945;150.25;38.13;150.25;0;13260.87;133.19;38.39;1
3;2.25;0;0;1;0;3;7;1440;7673;940;500;1982;38;1440;8418;172.92;32.45;264.89;498;6552.63;172.92;29.58;0
4;2.75;1;0;1;0;3;7;1950;9720;1400;550;1986;34;2300;10530;158.97;31.89;221.43;563.64;9117.65;134.78;29.44;1
5;1;0;0;1;0;5;7;1600;7350;1600;0;1962;58;1600;7725;162.5;35.37;162.5;0;4482.76;162.5;33.66;0
3;2.25;0;0;1;0;4;7;1670;7881;1190;480;1977;43;1870;7820;150.9;31.98;211.76;525;5860.47;134.76;32.23;0
3;2.5;0;0;2;0;3;7;1720;3951;1720;0;1992;28;1720;3605;149.36;65.02;149.36;0;9175;149.36;71.26;0
3;2.5;1;0;2;0;3;9;2300;8938;2300;0;1989;31;2570;9694;171.74;44.19;171.74;0;12741.94;153.7;40.75;1
3;2.5;0;0;2;0;3;7;1920;7779;1920;0;1989;31;1960;7536;145.31;35.87;145.31;0;9000;142.35;37.02;0
3;2.25;0;0;1;0;4;7;1840;6750;1270;570;1980;40;1750;7004;144.02;39.26;208.66;464.91;6625;151.43;37.84;0
3;2.25;0;0;1;0;3;7;1740;10836;910;830;1981;39;2090;7500;144.83;23.26;276.92;303.61;6461.54;120.57;33.6;0
3;2.5;0;0;1;0;3;7;1630;7700;1120;510;1978;42;1640;8160;153.31;32.45;223.13;490;5950;152.38;30.63;0
3;1.5;0;0;1;0;3;7;1500;11616;1100;400;1980;40;1830;8288;153.33;19.8;209.09;575;5750;125.68;27.75;0
3;2.5;1;0;2;0;3;7;1950;9618;1950;0;1992;28;1890;7133;161.54;32.75;161.54;0;11250;166.67;44.16;1
3;1.75;0;0;1;0;5;7;1730;11325;1730;0;1972;48;2030;17859;168.79;25.78;168.79;0;6083.33;143.84;16.35;0
4;2.5;0;0;2;0;3;7;1790;4358;1790;0;1993;27;1790;4305;145.25;59.66;145.25;0;9629.63;145.25;60.39;0
2;1;0;1;1;0;3;4;700;13500;700;0;1920;100;1600;10124;217.14;11.26;217.14;0;1520;95;15.01;0
4;2;0;0;1;0;3;7;1710;7455;1030;680;1975;45;1710;7350;136.84;31.39;227.18;344.12;5200;136.84;31.84;0
3;2;1;1;1;0;4;7;2140;26600;2140;0;1983;37;2310;8783;170.56;13.72;170.56;0;9864.86;158.01;41.56;1
3;1.5;0;0;1;0;4;7;1760;9600;1760;0;1966;54;1450;9600;154.55;28.33;154.55;0;5037.04;187.59;28.33;0
4;2.5;1;0;2;0;3;8;3250;4650;3250;0;2007;13;2960;4650;108.77;76.02;108.77;0;27192.31;119.43;76.02;1
4;1;0;1;1.5;0;4;6;1730;36356;1730;0;1954;66;1380;14060;184.39;8.77;184.39;0;4833.33;231.16;22.69;1
3;2.5;0;1;1;0;3;7;1680;15711;1240;440;1994;26;1420;8588;167.86;17.95;227.42;640.91;10846.15;198.59;32.84;0
3;2.25;0;0;1;0;4;7;1840;6214;1270;570;1983;37;1840;6214;154.89;45.86;224.41;500;7702.7;154.89;45.86;0
4;2.5;0;0;2;0;3;8;1840;5550;1840;0;2004;16;2030;5500;163.04;54.05;163.04;0;18750;147.78;54.55;0
4;2.5;1;0;2;0;3;8;2155;8140;2155;0;1996;24;2155;7245;166.5;44.08;166.5;0;14950;166.5;49.52;1
4;2.5;1;0;2;0;3;7;2370;7274;2370;0;1997;23;2090;7656;148.1;48.25;148.1;0;15260.87;167.94;45.85;1
4;1;1;0;1;0;3;7;1940;9533;1080;860;1962;58;1940;8839;136.6;27.8;245.37;308.14;4568.97;136.6;29.98;0
3;2;0;0;1;0;4;7;1210;6634;1210;0;1985;35;1560;7200;195.87;35.73;195.87;0;6771.43;151.92;32.92;0
4;2.5;0;0;2;0;3;7;1850;8198;1850;0;1993;27;1850;7924;159.46;35.98;159.46;0;10925.93;159.46;37.23;0
5;2;1;0;1;0;4;7;2260;11970;1250;1010;1962;58;1950;11970;121.68;22.97;220;272.28;4741.38;141.03;22.97;0
4;1.75;0;1;1;0;4;7;1800;28650;1800;0;1975;45;1800;5234;163.89;10.3;163.89;0;6555.56;163.89;56.36;0
4;2.25;0;0;1;0;4;7;1900;9600;1900;0;1967;53;2040;9600;113.16;22.4;113.16;0;4056.6;105.39;22.4;0
